role,iteration,packets,bytes,duration_us,throughput_mbit_s,throughput_mb_s
sender,1,512000,524288000,885231,4738.09,564.824
sender,2,512000,524288000,856365,4897.8,583.863
sender,3,512000,524288000,832791,5036.44,600.391
sender,4,512000,524288000,844693,4965.48,591.931
sender,5,512000,524288000,870466,4818.46,574.405
