role,iteration,packets,bytes,duration_us,throughput_mbit_s,throughput_mb_s
receiver,1,1048572,1073741824,62100600,138.323,16.4894
receiver,2,1048566,1073741824,60250000,142.572,16.9959
receiver,3,1048570,1073741824,60255000,142.56,16.9944
receiver,4,1048576,1073741824,10395800,826.293,98.5018
receiver,5,1048576,1073741824,11300400,760.144,90.6162
