role,iteration,packets,bytes,duration_us,throughput_mbit_s,throughput_mb_s
receiver,1,102400,104857600,5.69233e+06,147.367,17.5675
receiver,2,102400,104857600,4.5544e+06,184.187,21.9568
receiver,3,102399,104857600,6.01904e+07,13.9368,1.66139
receiver,4,102400,104857600,4.07197e+06,206.009,24.5581
receiver,5,102400,104857600,4.00069e+06,209.679,24.9957
