role,iteration,packets,bytes,duration_us,throughput_mbit_s,throughput_mb_s
receiver,1,1048576,1073741824,5123360,1676.62,199.869
receiver,2,920185,1073741824,61122900,140.536,16.7531
receiver,3,1048491,1073741824,60313100,142.422,16.9781
receiver,4,1048460,1073741824,60303200,142.446,16.9809
receiver,5,1048493,1073741824,60289400,142.478,16.9847
