role,iteration,packets,bytes,duration_us,throughput_mbit_s,throughput_mb_s
receiver,1,2097152,2147483648,24365900,705.079,84.0519
receiver,2,2097152,2147483648,22677100,757.586,90.3113
receiver,3,2096808,2147483648,62167900,276.346,32.9431
receiver,4,2097152,2147483648,21065700,815.538,97.2197
receiver,5,2096301,2147483648,62194400,276.229,32.9290
