role,iteration,packets,bytes,duration_us,throughput_mbit_s,throughput_mb_s
receiver,1,2097152,2147483648,7512870,2286.72,272.599
receiver,2,2097026,2147483648,62179300,276.296,32.937
receiver,3,2097018,2147483648,60563600,283.666,33.8157
receiver,4,2097152,2147483648,3153030,5448.69,649.534
receiver,5,1944816,2147483648,62169300,276.34,32.9423
