size(bytes),iterations,fanout,avg_send_throughput(MB/s),avg_send_throughput(MBits/s),avg_recv_throughput(MB/s),avg_recv_throughput(MBits/s),avg_send_transfer_time(ms),avg_recv_transfer_time(ms),peak_send_throughput(MB/s),peak_send_throughput(MBits/s),peak_recv_throughput(MB/s),peak_recv_throughput(MBits/s),peak_send_transfer_time(ms),peak_recv_transfer_time(ms)
1048576,5,1,8.41005,70.5486,2.48316,20.8302,118.905,402.713,8.41005,70.5486,2.48316,20.8302,118.905,402.713
10485760,5,1,73.46834,616.297,56.68836,475.53672,136.1192,365.2434,74.2738,623.054,69.4068,582.227,134.637,144.078
104857600,5,1,343.298,2879.8,45.7253,383.571,291.292,2186.97,353.211,2962.95,265.477,2226.98,283.117,376.681
524288000,5,1,582.812,4888.98,302.984,2541.62,857.909,1650.25,600.391,5036.44,395.329,3316.26,832.791,1264.77
1073741824,5,1,277.73028,2221.84224,53.51316,428.10528,36343.026,49430.392,712.641,5978.06,199.869,1676.62,1436.91,5123.36
2147483648,5,1,408.836,3429.566,204.366,1714.342,25404.1,39115.6,686.825,5761.5,649.534,5448.69,2981.84,3153.03
